tipo_red,fecha,configuracion,segundos_entrenamiento,epoca,error_train,error_test,accuracy_train,precision_train,recall_train,f1_score_train,accuracy_test,precision_test,recall_test,f1_score_test
ANN,2022-09-23 14:18:03.232562,ANN_capas=[64; 64; 64; 64; 64; 64; 64; 64; 1]_activaciones=['elu'; 'elu'; 'elu'; 'elu'; 'elu'; 'elu'; 'elu'; 'elu'; 'linear']_inicializadorKernel=glorot_uniform_inicializadorSesgo=zeros_batchSize=32_optimizador=adadelta_paciencia=-1,63.211963176727295,50.0,68028.28211854243,59363.268912687075,---,---,---,---,---,---,---,---
ANN,2022-09-23 14:19:02.996293,ANN_capas=[64; 64; 64; 64; 64; 64; 64; 64; 1]_activaciones=['elu'; 'elu'; 'elu'; 'elu'; 'elu'; 'elu'; 'elu'; 'elu'; 'linear']_inicializadorKernel=glorot_uniform_inicializadorSesgo=zeros_batchSize=32_optimizador=adagrad_paciencia=-1,59.61975812911987,50.0,69076.23429226581,60022.76474805205,---,---,---,---,---,---,---,---
ANN,2022-09-23 14:20:06.168845,ANN_capas=[64; 64; 64; 64; 64; 64; 64; 64; 1]_activaciones=['elu'; 'elu'; 'elu'; 'elu'; 'elu'; 'elu'; 'elu'; 'elu'; 'linear']_inicializadorKernel=glorot_uniform_inicializadorSesgo=zeros_batchSize=32_optimizador=adamax_paciencia=-1,63.0225510597229,50.0,56047.29659849795,58321.973080478,---,---,---,---,---,---,---,---
ANN,2022-09-23 14:21:19.393517,ANN_capas=[64; 64; 64; 64; 64; 64; 64; 64; 1]_activaciones=['elu'; 'elu'; 'elu'; 'elu'; 'elu'; 'elu'; 'elu'; 'elu'; 'linear']_inicializadorKernel=glorot_uniform_inicializadorSesgo=zeros_batchSize=32_optimizador=nadam_paciencia=-1,73.07166719436646,50.0,51087.21327299034,55548.62662568715,---,---,---,---,---,---,---,---
ANN,2022-09-23 14:22:28.957805,ANN_capas=[64; 64; 64; 64; 64; 64; 64; 64; 1]_activaciones=['elu'; 'elu'; 'elu'; 'elu'; 'elu'; 'elu'; 'elu'; 'elu'; 'linear']_inicializadorKernel=glorot_uniform_inicializadorSesgo=zeros_batchSize=32_optimizador=ftrl_paciencia=-1,69.41032290458679,50.0,69037.71027489252,60025.75020772335,---,---,---,---,---,---,---,---
ANN,2022-09-23 14:29:27.210960,ANN_capas=[64; 64; 64; 64; 64; 64; 64; 64; 1]_activaciones=['elu'; 'elu'; 'elu'; 'elu'; 'elu'; 'elu'; 'elu'; 'elu'; 'linear']_inicializadorKernel=glorot_uniform_inicializadorSesgo=zeros_porcentajesDropOut=[0.1; 0.1; 0.1; 0.1; 0.1; 0.1; 0.1; 0.1]_batchSize=32_optimizador=adam_paciencia=-1,83.21006298065186,50.0,60837.98602846744,56164.53998743335,---,---,---,---,---,---,---,---
ANN,2022-09-23 14:31:50.119705,ANN_capas=[64; 64; 64; 64; 64; 64; 64; 64; 1]_activaciones=['elu'; 'elu'; 'elu'; 'elu'; 'elu'; 'elu'; 'elu'; 'elu'; 'linear']_inicializadorKernel=glorot_uniform_inicializadorSesgo=zeros_porcentajesDropOut=[0.1; 0.1; 0.1; 0.1; 0.1; 0.1; 0.1; 0.1]_aplicarBatchNormalization=True_batchSize=32_optimizador=adam_paciencia=-1,142.56877040863037,50.0,167146.5774941264,169460.21107032767,---,---,---,---,---,---,---,---
ANN,2022-09-23 14:33:17.305130,ANN_capas=[64; 64; 64; 64; 64; 64; 64; 64; 1]_activaciones=['elu'; 'elu'; 'elu'; 'elu'; 'elu'; 'elu'; 'elu'; 'elu'; 'linear']_inicializadorKernel=glorot_uniform_inicializadorSesgo=zeros_porcentajesDropOut=[0.2; 0.2; 0.2; 0.2; 0.2; 0.2; 0.2; 0.2]_batchSize=32_optimizador=adam_paciencia=-1,86.9913923740387,50.0,69057.7571602206,59908.664348322774,---,---,---,---,---,---,---,---
ANN,2022-09-23 14:35:44.133613,ANN_capas=[64; 64; 64; 64; 64; 64; 64; 64; 1]_activaciones=['elu'; 'elu'; 'elu'; 'elu'; 'elu'; 'elu'; 'elu'; 'elu'; 'linear']_inicializadorKernel=glorot_uniform_inicializadorSesgo=zeros_porcentajesDropOut=[0.2; 0.2; 0.2; 0.2; 0.2; 0.2; 0.2; 0.2]_aplicarBatchNormalization=True_batchSize=32_optimizador=adam_paciencia=-1,146.4755139350891,50.0,168639.7631876895,166056.06918146653,---,---,---,---,---,---,---,---
ANN,2022-09-23 14:37:12.726517,ANN_capas=[64; 64; 64; 64; 64; 64; 64; 64; 1]_activaciones=['elu'; 'elu'; 'elu'; 'elu'; 'elu'; 'elu'; 'elu'; 'elu'; 'linear']_inicializadorKernel=glorot_uniform_inicializadorSesgo=zeros_porcentajesDropOut=[0.4; 0.4; 0.4; 0.4; 0.4; 0.4; 0.4; 0.4]_batchSize=32_optimizador=adam_paciencia=-1,88.37190341949463,50.0,85185.59577769002,58946.28225766236,---,---,---,---,---,---,---,---
