tipomodelo,fecha,configuracion,error_train,accuracy_train,precision_train,recall_train,f1_score_train,accuracy_test,precision_test,recall_test,f1_score_test
SVM,2022-06-25 20:29:15.219029,SVM_regularizacionC=0.25_kernel=poly_grado=1,,0.7838312829525483,0.7319587628865979,0.6666666666666666,0.6977886977886978,0.8041958041958042,0.7903225806451613,0.765625,0.7777777777777778
SVM,2022-06-25 20:29:15.250075,SVM_regularizacionC=0.25_kernel=poly_grado=3,,0.8418277680140598,0.9300699300699301,0.6244131455399061,0.7471910112359551,0.7832167832167832,0.8666666666666667,0.609375,0.7155963302752294
SVM,2022-06-25 20:29:15.281399,SVM_regularizacionC=0.25_kernel=poly_grado=5,,0.7275922671353251,0.9393939393939394,0.29107981220657275,0.4444444444444445,0.6433566433566433,0.9333333333333333,0.21875,0.35443037974683544
SVM,2022-06-25 20:29:15.314397,SVM_regularizacionC=0.25_kernel=poly_grado=7,,0.7258347978910369,0.9830508474576272,0.27230046948356806,0.4264705882352941,0.6293706293706294,0.9230769230769231,0.1875,0.3116883116883117
SVM,2022-06-25 20:29:15.428338,SVM_regularizacionC=0.25_kernel=rbf,,0.8347978910369068,0.8020304568527918,0.7417840375586855,0.7707317073170732,0.8181818181818182,0.8166666666666667,0.765625,0.7903225806451613
SVM,2022-06-25 20:29:15.462293,SVM_regularizacionC=0.25_kernel=sigmoid,,0.6854130052724078,0.5977011494252874,0.48826291079812206,0.537467700258398,0.6853146853146853,0.6792452830188679,0.5625,0.6153846153846154
SVM,2022-06-25 20:29:15.490611,SVM_regularizacionC=1.0_kernel=linear,,0.7820738137082601,0.7305699481865285,0.6619718309859155,0.6945812807881775,0.7972027972027972,0.7868852459016393,0.75,0.768
SVM,2022-06-25 20:29:15.517609,SVM_regularizacionC=1.0_kernel=poly_grado=1,,0.7820738137082601,0.7305699481865285,0.6619718309859155,0.6945812807881775,0.7972027972027972,0.7868852459016393,0.75,0.768
SVM,2022-06-25 20:29:15.580589,SVM_regularizacionC=1.0_kernel=poly_grado=3,,0.8506151142355008,0.8232323232323232,0.7652582159624414,0.7931873479318734,0.8181818181818182,0.8064516129032258,0.78125,0.7936507936507936
SVM,2022-06-25 20:29:15.612590,SVM_regularizacionC=1.0_kernel=poly_grado=5,,0.8681898066783831,0.9367088607594937,0.6948356807511737,0.7978436657681941,0.7972027972027972,0.8723404255319149,0.640625,0.7387387387387387
SVM,2022-06-25 20:29:15.643591,SVM_regularizacionC=1.0_kernel=poly_grado=7,,0.7486818980667839,0.972972972972973,0.3380281690140845,0.5017421602787456,0.6503496503496503,0.9375,0.234375,0.375
SVM,2022-06-25 20:29:15.685610,SVM_regularizacionC=1.0_kernel=rbf,,0.8471001757469244,0.8214285714285714,0.755868544600939,0.7872860635696822,0.8041958041958042,0.8,0.75,0.7741935483870969
SVM,2022-06-25 20:29:15.715594,SVM_regularizacionC=1.0_kernel=sigmoid,,0.6151142355008787,0.4855769230769231,0.47417840375586856,0.47980997624703087,0.6153846153846154,0.5789473684210527,0.515625,0.5454545454545454
SVM,2022-06-25 20:29:15.744590,SVM_regularizacionC=4.0_kernel=linear,,0.7820738137082601,0.7305699481865285,0.6619718309859155,0.6945812807881775,0.7972027972027972,0.7868852459016393,0.75,0.768
SVM,2022-06-25 20:29:15.770589,SVM_regularizacionC=4.0_kernel=poly_grado=1,,0.7820738137082601,0.7305699481865285,0.6619718309859155,0.6945812807881775,0.7972027972027972,0.7868852459016393,0.75,0.768
SVM,2022-06-25 20:29:15.800592,SVM_regularizacionC=4.0_kernel=poly_grado=3,,0.859402460456942,0.8556149732620321,0.7511737089201878,0.7999999999999999,0.8041958041958042,0.78125,0.78125,0.78125
